,lat,lng,floor,floor_total,contractArea,realArea,deposit,gu_dobong,gu_dongdaemun,gu_dongjak,gu_eunpyeong,gu_gangbuk,gu_gangdong,gu_gangnam,gu_gangseo,gu_guemcheon,gu_guro,gu_gwanak,gu_gwangjin,gu_jongno,gu_jung,gu_jungnang,gu_mapo,gu_nowon,gu_seocho,gu_seodaemun,gu_seongbuk,gu_seongdong,gu_songpa,gu_yangcheon,gu_yeongdeungpo,gu_yongsan,direction_남동향,direction_남서향,direction_남향,direction_동향,direction_북동향,direction_북서향,direction_북향,direction_서향,distance,floor_rate,area_rate
78,37.571954,127.057597,4,5,20,20,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17555.284682792524,0.8,1.0
79,37.598889,127.061454,5,7,194,21,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17558.28954662844,0.7142857142857143,0.10824742268041238
80,37.575725,127.026375,4,7,23,19,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17547.63505491625,0.5714285714285714,0.8260869565217391
81,37.585967,127.059821,3,3,33,26,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17556.90302787713,1.0,0.7878787878787878
82,37.575771,127.041668,3,3,20,16,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17551.523974466665,1.0,0.8
83,37.569201,127.072235,1,4,20,18,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17558.797771673628,0.25,0.9
84,37.580758,127.027472,3,4,16,16,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17548.292014565348,0.75,1.0
85,37.580758,127.027472,2,4,20,20,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17548.292014565348,0.5,1.0
86,37.57277,127.073311,1,4,29,26,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17559.339413975624,0.25,0.896551724137931
87,37.57053,127.030955,1,5,27,23,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17548.408252692927,0.2,0.8518518518518519
88,37.57987,127.033205,2,6,18,13,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17549.681801788924,0.3333333333333333,0.7222222222222222
89,37.603761,127.062237,11,15,17,15,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17558.85491278929,0.7333333333333333,0.8823529411764706
90,37.577361,127.049213,2,3,30,30,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17553.560583643688,0.6666666666666666,1.0
91,37.578714,127.050657,2,4,22,20,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17554.029190025445,0.5,0.9090909090909091
92,37.581986,127.068127,5,9,18,16,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17558.714570992324,0.5555555555555556,0.8888888888888888
93,37.59062,127.037183,3,5,23,23,6000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17551.50057655989,0.6,1.0
94,37.576148,127.033144,2,5,20,20,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17549.386573042637,0.4,1.0
95,37.576989,127.025261,2,5,39,29,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17547.447034424244,0.4,0.7435897435897436
96,37.577325,127.027391,1,1,21,17,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17548.013418422503,1.0,0.8095238095238095
97,37.563558,127.068818,4,4,20,17,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17557.505397536486,1.0,0.85
98,37.584907,127.038285,1,4,16,16,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17551.351089939875,0.25,1.0
99,37.575151,127.040764,3,3,23,23,4000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17551.247690376495,1.0,1.0
100,37.579949,127.055778,3,4,97,22,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17555.423290027888,0.75,0.2268041237113402
101,37.580121,127.059214,1,1,43,21,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17556.309356672435,1.0,0.4883720930232558
102,37.575234,127.047118,2,3,34,22,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17552.86840226068,0.6666666666666666,0.6470588235294118
103,37.575199,127.040956,3,3,21,18,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17551.300081283534,1.0,0.8571428571428571
104,37.575804,127.025821,6,7,33,19,4500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17547.500246970456,0.8571428571428571,0.5757575757575758
105,37.572438,127.059897,1,4,24,24,5000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17555.905522914454,0.25,1.0
106,37.564697,127.068181,1,3,89,23,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17557.42908335057,0.3333333333333333,0.25842696629213485
107,37.581612,127.073375,2,5,141,16,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17560.020194409168,0.4,0.11347517730496454
108,37.595893,127.062672,3,8,13,13,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17558.373786247033,0.375,1.0
109,37.486355,126.978696,1,3,57,29,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17528.816049046443,0.3333333333333333,0.5087719298245614
110,37.511631,126.945635,1,2,13,13,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17522.316705833386,0.5,1.0
111,37.512111,126.94709,2,4,14,12,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17522.72213114442,0.5,0.8571428571428571
